
Cover20,RANDOM,BSF,DFS,SEC
100%,1.0,1.0,1.0,1.0
90%,0.9049999999999999,1.0,0.9983333333333333,1.0
80%,0.7566666666666665,0.9983333333333333,0.9966666666666666,0.9983333333333333
70%,0.7016666666666667,0.9983333333333333,0.9933333333333333,0.9983333333333333
60%,0.6016666666666667,0.9949999999999999,0.9949999999999999,0.9949999999999999
50%,0.49333333333333335,0.9933333333333333,0.9933333333333333,0.9933333333333333
40%,0.3633333333333334,0.9933333333333333,0.99,0.9899999999999999
30%,0.2783333333333334,0.98,0.9816666666666666,0.9816666666666666
20%,0.19833333333333336,0.9266666666666666,0.9566666666666666,0.9699999999999996
10%,0.11166666666666664,0.7516666666666667,0.8983333333333331,0.895
5%,0.03333333333333334,0.55,0.7699999999999999,0.6683333333333332
2%,0.016666666666666666,0.25666666666666665,0.5150000000000001,0.31166666666666665
1%,0.005000000000000001,0.24333333333333332,0.3316666666666667,0.16666666666666663
0.5%,0.005000000000000001,0.14166666666666666,0.19,0.08666666666666667
0.2%,0.0016666666666666668,0.06999999999999999,0.07833333333333332,0.04500000000000001
0.1%,0.0016666666666666668,0.041666666666666664,0.03833333333333334,0.025000000000000005

Cover50,RANDOM,BSF,DFS,SEC
100%,1.0,1.0,1.0,1.0
90%,0.8973333333333334,0.9960000000000001,0.9966666666666667,0.9960000000000001
80%,0.7779999999999999,0.9940000000000001,0.9920000000000002,0.9926666666666668
70%,0.704,0.9913333333333335,0.9886666666666669,0.9906666666666669
60%,0.6140000000000001,0.9840000000000002,0.9866666666666668,0.9840000000000002
50%,0.492,0.976666666666667,0.978666666666667,0.9820000000000004
40%,0.3853333333333333,0.9560000000000006,0.9733333333333338,0.9726666666666671
30%,0.28533333333333327,0.9346666666666671,0.9480000000000003,0.9526666666666672
20%,0.1966666666666667,0.8486666666666666,0.9166666666666667,0.9220000000000003
10%,0.11400000000000005,0.6386666666666668,0.8059999999999999,0.796
5%,0.038000000000000006,0.4486666666666668,0.654,0.5720000000000002
2%,0.02066666666666667,0.2053333333333333,0.4026666666666666,0.24333333333333335
1%,0.005333333333333333,0.1606666666666667,0.24866666666666665,0.13466666666666668
0.5%,0.0033333333333333335,0.1006666666666667,0.14600000000000002,0.08466666666666668
0.2%,0.0013333333333333333,0.04600000000000001,0.059333333333333356,0.036666666666666674
0.1%,0.0006666666666666666,0.026666666666666672,0.028666666666666674,0.019333333333333334

Cover100,RANDOM,BSF,DFS,SEC
100%,1.0,1.0,1.0,1.0
90%,0.9033333333333335,0.9960000000000001,0.9949999999999997,0.9959999999999999
80%,0.7953333333333332,0.9936666666666666,0.9916666666666665,0.9926666666666667
70%,0.7063333333333334,0.9896666666666665,0.9849999999999995,0.989
60%,0.6073333333333333,0.9809999999999998,0.9819999999999999,0.9819999999999998
50%,0.49833333333333346,0.9656666666666668,0.9713333333333334,0.9723333333333333
40%,0.3913333333333335,0.9373333333333335,0.9606666666666666,0.9573333333333334
30%,0.3063333333333333,0.8863333333333334,0.9310000000000003,0.9286666666666665
20%,0.1946666666666667,0.7803333333333333,0.871,0.878
10%,0.10866666666666669,0.541,0.7413333333333335,0.7096666666666666
5%,0.045666666666666696,0.372,0.5683333333333334,0.49133333333333323
2%,0.019666666666666673,0.1706666666666667,0.34633333333333327,0.21733333333333335
1%,0.007333333333333335,0.12133333333333336,0.20799999999999993,0.11833333333333336
0.5%,0.003333333333333333,0.078,0.11933333333333333,0.07800000000000001
0.2%,0.0016666666666666668,0.033666666666666664,0.050000000000000024,0.03800000000000001
0.1%,0.0013333333333333333,0.019000000000000003,0.02500000000000001,0.019333333333333338

Cover200,RANDOM,BSF,DFS,SEC
100%,1.0,1.0,1.0,1.0
90%,0.9000000000000002,0.9963333333333332,0.9944999999999999,0.9956666666666666
80%,0.7980000000000002,0.9943333333333333,0.9903333333333333,0.9931666666666668
70%,0.7006666666666667,0.9896666666666665,0.9840000000000001,0.9893333333333332
60%,0.6094999999999999,0.9753333333333333,0.979,0.9801666666666667
50%,0.5021666666666669,0.9501666666666667,0.9641666666666666,0.9670000000000001
40%,0.39533333333333326,0.9018333333333334,0.9425,0.9416666666666665
30%,0.31449999999999995,0.8293333333333334,0.9098333333333333,0.8989999999999999
20%,0.194,0.7126666666666668,0.8323333333333333,0.8256666666666665
10%,0.10650000000000004,0.4718333333333334,0.6769999999999999,0.6356666666666667
5%,0.04816666666666667,0.3088333333333334,0.48883333333333334,0.4311666666666666
2%,0.021166666666666677,0.14016666666666663,0.2789999999999999,0.18866666666666668
1%,0.008833333333333337,0.09149999999999998,0.1605,0.10833333333333334
0.5%,0.005,0.06016666666666667,0.09050000000000002,0.07016666666666668
0.2%,0.0018333333333333333,0.026833333333333338,0.03766666666666667,0.03200000000000001
0.1%,0.001,0.013000000000000005,0.018500000000000006,0.01816666666666667

Cover500,RANDOM,BSF,DFS,SEC
100%,1.0,1.0,1.0,1.0
90%,0.8977333333333334,0.9957999999999998,0.9936666666666665,0.9958666666666663
80%,0.7971333333333334,0.9911999999999997,0.9880666666666665,0.9918
70%,0.6982666666666667,0.987,0.9816666666666669,0.9867333333333335
60%,0.6082666666666665,0.9672666666666667,0.9743999999999999,0.9744
50%,0.5039999999999999,0.9285333333333334,0.9568666666666663,0.9608666666666666
40%,0.39546666666666674,0.8612666666666666,0.9251333333333331,0.9275333333333333
30%,0.3063333333333333,0.7663333333333335,0.8761333333333333,0.8762000000000002
20%,0.19653333333333337,0.6270666666666664,0.7772000000000002,0.7760666666666668
10%,0.10366666666666666,0.3907333333333333,0.5823999999999999,0.5460666666666668
5%,0.04846666666666669,0.24053333333333335,0.38926666666666676,0.3666666666666666
2%,0.019733333333333342,0.10873333333333335,0.20420000000000005,0.16506666666666667
1%,0.009600000000000004,0.06600000000000003,0.11453333333333332,0.09319999999999999
0.5%,0.0052000000000000015,0.04080000000000002,0.061333333333333365,0.06033333333333336
0.2%,0.0019333333333333336,0.01753333333333334,0.026733333333333345,0.027933333333333345
0.1%,0.0006666666666666668,0.009133333333333334,0.01226666666666667,0.014266666666666672

Cover1000,RANDOM,BSF,DFS,SEC
100%,1.0,1.0,1.0,1.0
90%,0.8986666666666668,0.9956,0.9927666666666665,0.9952666666666663
80%,0.7974666666666665,0.9896999999999998,0.9866666666666665,0.9904666666666665
70%,0.7015666666666667,0.9848666666666666,0.9781666666666669,0.9846666666666665
60%,0.6035333333333333,0.9580666666666666,0.9700666666666665,0.9685333333333335
50%,0.501,0.9095333333333334,0.9476666666666665,0.9529999999999997
40%,0.3970999999999999,0.8318666666666665,0.9065,0.9127666666666665
30%,0.30573333333333336,0.7213666666666664,0.8451000000000001,0.8578666666666664
20%,0.2005333333333334,0.5647666666666668,0.7254333333333333,0.7407333333333334
10%,0.10490000000000002,0.34096666666666675,0.5100666666666666,0.48850000000000005
5%,0.0488,0.1991,0.3234333333333333,0.3203666666666667
2%,0.01970000000000001,0.09089999999999998,0.15846666666666664,0.14516666666666664
1%,0.009633333333333337,0.05116666666666667,0.08646666666666666,0.08103333333333335
0.5%,0.00566666666666667,0.029900000000000013,0.045533333333333335,0.04996666666666667
0.2%,0.0023000000000000013,0.012600000000000005,0.019466666666666677,0.02136666666666667
0.1%,0.0008000000000000001,0.006400000000000002,0.008500000000000004,0.010533333333333337

Cover2000,RANDOM,BSF,DFS,SEC
100%,1.0,1.0,1.0,1.0
90%,0.8983833333333332,0.9942499999999999,0.9913333333333334,0.9938000000000001
80%,0.7988166666666666,0.9875333333333333,0.9831333333333334,0.9879666666666665
70%,0.7004,0.9808333333333333,0.9735333333333335,0.9807333333333333
60%,0.6049166666666667,0.94555,0.9632833333333332,0.9614166666666664
50%,0.5036166666666665,0.884883333333333,0.9344999999999998,0.9431833333333335
40%,0.3984333333333333,0.7932833333333335,0.8818999999999997,0.8962833333333333
30%,0.30241666666666667,0.6708333333333332,0.8027166666666667,0.8324499999999999
20%,0.20213333333333328,0.5046499999999999,0.6645833333333334,0.6938499999999997
10%,0.10198333333333336,0.29971666666666663,0.43029999999999996,0.42610000000000003
5%,0.048866666666666676,0.16553333333333334,0.2580666666666666,0.2703166666666667
2%,0.01971666666666667,0.07585,0.11761666666666667,0.11951666666666669
1%,0.009700000000000004,0.040366666666666676,0.06285000000000002,0.06646666666666666
0.5%,0.005300000000000002,0.023016666666666668,0.032350000000000004,0.03896666666666666
0.2%,0.002200000000000001,0.009750000000000005,0.01343333333333334,0.01603333333333334
0.1%,0.000766666666666667,0.004450000000000002,0.006166666666666669,0.00781666666666667


rand
,Cover20,Cover50,Cover100,Cover200,Cover500,Cover1000,Cover2000
100%,1.0,1.0,1.0,1.0,1.0,1.0,1.0
90%,0.9049999999999999,0.8973333333333334,0.9033333333333335,0.9000000000000002,0.8977333333333334,0.8986666666666668,0.8983833333333332
80%,0.7566666666666665,0.7779999999999999,0.7953333333333332,0.7980000000000002,0.7971333333333334,0.7974666666666665,0.7988166666666666
70%,0.7016666666666667,0.704,0.7063333333333334,0.7006666666666667,0.6982666666666667,0.7015666666666667,0.7004
60%,0.6016666666666667,0.6140000000000001,0.6073333333333333,0.6094999999999999,0.6082666666666665,0.6035333333333333,0.6049166666666667
50%,0.49333333333333335,0.492,0.49833333333333346,0.5021666666666669,0.5039999999999999,0.501,0.5036166666666665
40%,0.3633333333333334,0.3853333333333333,0.3913333333333335,0.39533333333333326,0.39546666666666674,0.3970999999999999,0.3984333333333333
30%,0.2783333333333334,0.28533333333333327,0.3063333333333333,0.31449999999999995,0.3063333333333333,0.30573333333333336,0.30241666666666667
20%,0.19833333333333336,0.1966666666666667,0.1946666666666667,0.194,0.19653333333333337,0.2005333333333334,0.20213333333333328
10%,0.11166666666666664,0.11400000000000005,0.10866666666666669,0.10650000000000004,0.10366666666666666,0.10490000000000002,0.10198333333333336
5%,0.03333333333333334,0.038000000000000006,0.045666666666666696,0.04816666666666667,0.04846666666666669,0.0488,0.048866666666666676
2%,0.016666666666666666,0.02066666666666667,0.019666666666666673,0.021166666666666677,0.019733333333333342,0.01970000000000001,0.01971666666666667
1%,0.005000000000000001,0.005333333333333333,0.007333333333333335,0.008833333333333337,0.009600000000000004,0.009633333333333337,0.009700000000000004
0.5%,0.005000000000000001,0.0033333333333333335,0.003333333333333333,0.005,0.0052000000000000015,0.00566666666666667,0.005300000000000002
0.2%,0.0016666666666666668,0.0013333333333333333,0.0016666666666666668,0.0018333333333333333,0.0019333333333333336,0.0023000000000000013,0.002200000000000001
0.1%,0.0016666666666666668,0.0006666666666666666,0.0013333333333333333,0.001,0.0006666666666666668,0.0008000000000000001,0.000766666666666667

bfs
,Cover20,Cover50,Cover100,Cover200,Cover500,Cover1000,Cover2000
100%,1.0,1.0,1.0,1.0,1.0,1.0,1.0
90%,1.0,0.9960000000000001,0.9960000000000001,0.9963333333333332,0.9957999999999998,0.9956,0.9942499999999999
80%,0.9983333333333333,0.9940000000000001,0.9936666666666666,0.9943333333333333,0.9911999999999997,0.9896999999999998,0.9875333333333333
70%,0.9983333333333333,0.9913333333333335,0.9896666666666665,0.9896666666666665,0.987,0.9848666666666666,0.9808333333333333
60%,0.9949999999999999,0.9840000000000002,0.9809999999999998,0.9753333333333333,0.9672666666666667,0.9580666666666666,0.94555
50%,0.9933333333333333,0.976666666666667,0.9656666666666668,0.9501666666666667,0.9285333333333334,0.9095333333333334,0.884883333333333
40%,0.9933333333333333,0.9560000000000006,0.9373333333333335,0.9018333333333334,0.8612666666666666,0.8318666666666665,0.7932833333333335
30%,0.98,0.9346666666666671,0.8863333333333334,0.8293333333333334,0.7663333333333335,0.7213666666666664,0.6708333333333332
20%,0.9266666666666666,0.8486666666666666,0.7803333333333333,0.7126666666666668,0.6270666666666664,0.5647666666666668,0.5046499999999999
10%,0.7516666666666667,0.6386666666666668,0.541,0.4718333333333334,0.3907333333333333,0.34096666666666675,0.29971666666666663
5%,0.55,0.4486666666666668,0.372,0.3088333333333334,0.24053333333333335,0.1991,0.16553333333333334
2%,0.25666666666666665,0.2053333333333333,0.1706666666666667,0.14016666666666663,0.10873333333333335,0.09089999999999998,0.07585
1%,0.24333333333333332,0.1606666666666667,0.12133333333333336,0.09149999999999998,0.06600000000000003,0.05116666666666667,0.040366666666666676
0.5%,0.14166666666666666,0.1006666666666667,0.078,0.06016666666666667,0.04080000000000002,0.029900000000000013,0.023016666666666668
0.2%,0.06999999999999999,0.04600000000000001,0.033666666666666664,0.026833333333333338,0.01753333333333334,0.012600000000000005,0.009750000000000005
0.1%,0.041666666666666664,0.026666666666666672,0.019000000000000003,0.013000000000000005,0.009133333333333334,0.006400000000000002,0.004450000000000002

dfs
,Cover20,Cover50,Cover100,Cover200,Cover500,Cover1000,Cover2000
100%,1.0,1.0,1.0,1.0,1.0,1.0,1.0
90%,0.9983333333333333,0.9966666666666667,0.9949999999999997,0.9944999999999999,0.9936666666666665,0.9927666666666665,0.9913333333333334
80%,0.9966666666666666,0.9920000000000002,0.9916666666666665,0.9903333333333333,0.9880666666666665,0.9866666666666665,0.9831333333333334
