
rand
Overlap100,Degree,Closeness,Betweenness,PageRank,k-core
100%,0.39733333333333337,0.2926666666666667,0.166,0.3333333333333333,0.013000000000000005
90%,0.38333333333333336,0.272,0.15633333333333332,0.32166666666666666,0.014666666666666668
80%,0.3403333333333333,0.23800000000000004,0.14400000000000002,0.297,0.01533333333333334
70%,0.32699999999999996,0.21699999999999997,0.1296666666666667,0.289,0.015333333333333336
60%,0.30233333333333334,0.20900000000000005,0.11000000000000003,0.26599999999999996,0.016000000000000004
50%,0.249,0.17099999999999999,0.09000000000000002,0.22533333333333339,0.017666666666666667
40%,0.20900000000000007,0.14033333333333334,0.0736666666666667,0.19666666666666666,0.019666666666666673
30%,0.17266666666666666,0.11366666666666665,0.06400000000000003,0.16,0.02033333333333333
20%,0.11633333333333332,0.08133333333333334,0.039666666666666676,0.10633333333333334,0.016000000000000004
10%,0.07966666666666668,0.0506666666666667,0.02600000000000001,0.0676666666666667,0.01866666666666667

bfs
Overlap100,Degree,Closeness,Betweenness,PageRank,k-core
100%,0.39733333333333337,0.2926666666666667,0.166,0.3333333333333333,0.013000000000000005
90%,0.3880000000000001,0.2906666666666667,0.162,0.329,0.013000000000000005
80%,0.3780000000000001,0.287,0.1546666666666667,0.3253333333333333,0.013000000000000005
70%,0.36533333333333323,0.253,0.144,0.3193333333333333,0.013000000000000005
60%,0.357,0.25933333333333336,0.13533333333333333,0.31699999999999995,0.013000000000000005
50%,0.3433333333333333,0.2643333333333333,0.13166666666666665,0.30333333333333334,0.013000000000000005
40%,0.3226666666666667,0.257,0.13100000000000003,0.2933333333333333,0.013333333333333338
30%,0.28933333333333344,0.25466666666666665,0.11933333333333333,0.2736666666666666,0.013000000000000005
20%,0.2536666666666667,0.24999999999999997,0.10766666666666666,0.25633333333333336,0.018000000000000006
10%,0.18033333333333335,0.22800000000000004,0.08400000000000002,0.19033333333333333,0.014666666666666668

dfs
Overlap100,Degree,Closeness,Betweenness,PageRank,k-core
100%,0.39733333333333337,0.2926666666666667,0.166,0.3333333333333333,0.013000000000000005
90%,0.38699999999999996,0.2910000000000001,0.16233333333333336,0.3303333333333333,0.013000000000000005
80%,0.3756666666666666,0.2863333333333334,0.15800000000000003,0.32566666666666666,0.013000000000000005
70%,0.36066666666666664,0.2803333333333333,0.149,0.32333333333333336,0.013000000000000005
60%,0.34433333333333327,0.2503333333333334,0.13833333333333334,0.3123333333333334,0.013000000000000005
50%,0.3303333333333334,0.22900000000000004,0.13033333333333333,0.3033333333333334,0.01266666666666667
40%,0.30833333333333335,0.22633333333333336,0.12733333333333335,0.2916666666666667,0.012333333333333337
30%,0.27999999999999997,0.24366666666666667,0.12500000000000003,0.2770000000000001,0.014666666666666668
20%,0.24933333333333335,0.26633333333333337,0.12000000000000001,0.2633333333333334,0.019333333333333338
10%,0.22466666666666668,0.2863333333333334,0.11166666666666664,0.24500000000000005,0.033000000000000015

sec
Overlap100,Degree,Closeness,Betweenness,PageRank,k-core
100%,0.39733333333333337,0.2926666666666667,0.166,0.3333333333333333,0.013000000000000005
90%,0.3876666666666667,0.2923333333333334,0.162,0.331,0.013000000000000005
80%,0.3773333333333334,0.2863333333333334,0.15500000000000005,0.325,0.013000000000000005
70%,0.3659999999999999,0.2553333333333333,0.14366666666666666,0.31899999999999995,0.013000000000000005
60%,0.3543333333333333,0.2696666666666667,0.13333333333333333,0.31100000000000005,0.013000000000000005
50%,0.3303333333333333,0.2623333333333333,0.1256666666666667,0.3003333333333333,0.013000000000000005
40%,0.3046666666666667,0.2780000000000001,0.11966666666666667,0.284,0.013000000000000005
30%,0.26799999999999996,0.29333333333333333,0.11200000000000003,0.26633333333333337,0.013000000000000005
20%,0.22333333333333333,0.30333333333333334,0.10333333333333333,0.243,0.013000000000000005
10%,0.18033333333333335,0.3156666666666667,0.0986666666666667,0.20066666666666674,0.014000000000000005


rand
Overlap500,Degree,Closeness,Betweenness,PageRank,k-core
100%,0.3683333333333334,0.15846666666666664,0.19733333333333333,0.36913333333333337,0.103
90%,0.345,0.1461333333333333,0.18613333333333337,0.3489333333333333,0.10433333333333335
80%,0.3209333333333334,0.13406666666666667,0.1744,0.3241333333333332,0.10360000000000001
70%,0.2964,0.12440000000000001,0.15986666666666668,0.29853333333333326,0.10086666666666666
60%,0.2729999999999999,0.12379999999999998,0.14666666666666664,0.27039999999999986,0.09980000000000001
50%,0.2348,0.1084,0.13226666666666667,0.23579999999999998,0.09113333333333337
40%,0.19920000000000002,0.09906666666666668,0.1118,0.19373333333333337,0.0870666666666667
30%,0.1681333333333333,0.09733333333333333,0.09573333333333335,0.16166666666666668,0.0754666666666667
20%,0.11673333333333333,0.0774666666666667,0.06633333333333338,0.10640000000000002,0.05760000000000003
10%,0.0696666666666667,0.05266666666666669,0.04633333333333336,0.05700000000000004,0.05313333333333336

bfs
Overlap500,Degree,Closeness,Betweenness,PageRank,k-core
100%,0.3683333333333334,0.15846666666666664,0.19733333333333333,0.36913333333333337,0.103
90%,0.36406666666666665,0.15786666666666666,0.195,0.3678666666666667,0.103
80%,0.35746666666666654,0.15919999999999998,0.19073333333333337,0.36486666666666673,0.103
70%,0.35186666666666666,0.1618,0.18560000000000004,0.3603333333333334,0.103
60%,0.3441999999999999,0.17940000000000006,0.1842666666666667,0.35673333333333335,0.103
50%,0.33393333333333325,0.18573333333333336,0.18440000000000004,0.34866666666666657,0.103
